Order ID,Date,Customer_Name,Product,Category,Quantity,Price,City,Discount,Payment Mode,Order Status,Salesperson,Profit,Shipping Cost,Remarks
ORD1014,2025-02-23,Mallory Richardson,Galaxy Tab,Smartwatch,2,145819,Bengaluru,4%,UPI,Delayed,Arjun,5811,392,Late delivery
ORD1015,2024-09-25,Michael Davis,Galaxy Tab,Laptop,5,107457,Mumbai,15%,Credit Card,Delayed,David,232,761,Urgent
ORD1016,2024-07-19,Megan Brown,OnePlus 11,Tablet,3,92549,Delhi,13%,UPI,Cancelled,John,3459,177,-
ORD1017,2024-10-17,Stephanie Davis,OnePlus 11,Mobile,1,48663,Kolkata,1%,Credit Card,Cancelled,Priya,-1788,432,Urgent
ORD1018,2024-09-13,Cody Cooper,AirPods Pro,Accessories,1,43700,Kolkata,12%,UPI,Pending,David,10885,484,Urgent
ORD1019,2024-05-22,Scott Ruiz,AirPods Pro,Tablet,5,116408,Kolkata,1%,Cash,Cancelled,Priya,19402,103,Late delivery
ORD1020,2024-09-05,Andrew Gomez,Galaxy Tab,Mobile,2,82568,Bengaluru,19%,Debit Card,Cancelled,Arjun,-1879,946,No stock
ORD1021,2025-02-21,Danielle Clark,MacBook Air,Accessories,2,77671,Kolkata,14%,Net Banking,Delayed,Arjun,-2102,517,Urgent
ORD1022,2025-01-18,Deborah Rodriguez,Galaxy Tab,Laptop,3,126607,Kolkata,4%,Cash,Delivered,Arjun,7942,760,Fragile
ORD1023,2025-01-23,Katie Nunez,OnePlus 11,Smartwatch,3,125525,Kolkata,1%,Net Banking,Cancelled,David,-3411,333,-
ORD1024,2024-06-26,Shelby Stokes,AirPods Pro,Tablet,5,82895,Hyderabad,6%,Debit Card,Delivered,John,15274,837,-
ORD1025,2025-02-24,Rebecca Nelson,OnePlus 11,Accessories,4,74423,Kolkata,18%,Cash,Delayed,Priya,-2119,786,Late delivery
ORD1026,2024-07-01,Nicholas Ortega,AirPods Pro,Laptop,1,78305,Hyderabad,4%,UPI,Delayed,John,6363,885,Fragile
ORD1027,2024-07-25,Carrie Anderson,iPhone 13,Accessories,1,115346,Delhi,10%,UPI,Cancelled,John,-2972,874,Urgent
ORD1028,2025-03-17,Amanda Griffith,MacBook Air,Smartwatch,3,57503,Bengaluru,15%,Debit Card,Cancelled,Arjun,7207,842,Fragile
ORD1029,2024-11-22,Cassandra Garcia,Fitbit Charge,Laptop,5,120023,Delhi,6%,Cash,Delayed,Arjun,2900,471,-
ORD1030,2024-09-03,Bradley Keller,Fitbit Charge,Tablet,5,143581,Mumbai,5%,Debit Card,Pending,David,4271,541,No stock
ORD1031,2024-11-05,Tom Ferguson,AirPods Pro,Smartwatch,3,87000,Mumbai,7%,Credit Card,Delivered,David,6701,527,Fragile
ORD1032,2025-01-30,Kevin Edwards,OnePlus 11,Tablet,1,75078,Hyderabad,3%,Net Banking,Cancelled,Sarah,-3910,701,No stock
ORD1033,2025-02-06,Chad Robbins,Fitbit Charge,Laptop,5,132115,Chennai,2%,Cash,Cancelled,Sarah,11526,294,-
ORD1034,2024-06-06,Tina Acevedo,MacBook Air,Mobile,2,62031,Bengaluru,11%,Credit Card,Delivered,John,18026,141,Fragile
ORD1035,2024-06-08,Suzanne Lee,Fitbit Charge,Accessories,1,41918,Chennai,18%,UPI,Cancelled,Priya,-3019,578,Urgent
ORD1036,2024-05-22,Ian Smith,iPhone 13,Accessories,4,99581,Kolkata,10%,Net Banking,Delayed,Arjun,1226,187,No stock
ORD1037,2024-08-08,Cindy Campbell,MacBook Air,Mobile,3,99374,Bengaluru,6%,Debit Card,Delayed,John,16536,785,No stock
ORD1038,2025-04-03,Whitney Turner,Galaxy Tab,Accessories,4,45196,Delhi,15%,UPI,Cancelled,John,-3711,258,No stock
ORD1039,2024-09-05,John Lamb,Fitbit Charge,Laptop,2,138394,Bengaluru,2%,Cash,Pending,Priya,18283,179,Urgent
ORD1040,2025-01-05,Teresa Barron,AirPods Pro,Laptop,1,42751,Delhi,14%,Cash,Delivered,David,4597,858,Late delivery
ORD1041,2025-04-08,Rickey Mason,iPhone 13,Laptop,4,143663,Bengaluru,11%,UPI,Delayed,Riya,11470,227,Late delivery
ORD1042,2025-04-25,Richard Maldonado,Fitbit Charge,Mobile,5,30221,Delhi,19%,Net Banking,Delivered,Priya,-2383,519,Late delivery
ORD1043,2024-09-04,Blake Meadows,Fitbit Charge,Mobile,2,129404,Mumbai,17%,UPI,Delivered,Arjun,18696,680,Urgent
ORD1044,2024-12-17,Anthony Powell,iPhone 13,Smartwatch,1,140291,Kolkata,4%,Cash,Pending,Arjun,12469,517,Late delivery
ORD1045,2024-09-15,Kristina Gonzalez,Galaxy Tab,Mobile,1,114350,Bengaluru,16%,Credit Card,Pending,Arjun,7576,889,Fragile
ORD1046,2024-11-04,Kevin Clark,OnePlus 11,Accessories,1,146898,Mumbai,7%,Debit Card,Pending,John,9172,869,Fragile
ORD1047,2024-05-23,Amber Jones,AirPods Pro,Accessories,5,12474,Mumbai,10%,UPI,Delivered,Priya,9259,541,Urgent
ORD1048,2024-05-27,Cathy Waters,MacBook Air,Mobile,5,145407,Kolkata,3%,Net Banking,Pending,Riya,-3262,666,Urgent
ORD1049,2024-10-05,Jamie Summers,Fitbit Charge,Tablet,1,61823,Kolkata,2%,Cash,Delayed,Sarah,10240,554,Fragile
ORD1050,2024-10-05,Nicole Williams,OnePlus 11,Tablet,2,64530,Chennai,8%,Credit Card,Delivered,Sarah,1276,517,Urgent
ORD1051,2025-04-22,Monica Gonzalez,iPhone 13,Tablet,4,125571,Bengaluru,10%,Net Banking,Delivered,Arjun,16502,936,No stock
ORD1052,2024-07-12,Nichole Richardson,OnePlus 11,Accessories,2,104994,Kolkata,14%,Net Banking,Pending,Arjun,-3251,561,Urgent
ORD1053,2024-10-02,Shelly Johns,Galaxy Tab,Tablet,4,128141,Delhi,7%,Debit Card,Cancelled,Sarah,-47,376,No stock
ORD1054,2024-08-28,Susan Collins,OnePlus 11,Smartwatch,2,106546,Hyderabad,4%,Credit Card,Cancelled,Priya,19156,625,Urgent
ORD1055,2024-06-14,Makayla Bennett,MacBook Air,Smartwatch,4,117664,Chennai,2%,Debit Card,Cancelled,John,-3217,281,Fragile
ORD1056,2024-05-13,Marilyn Duarte,Fitbit Charge,Accessories,4,116887,Delhi,20%,Debit Card,Delayed,David,17118,638,Late delivery
ORD1057,2025-03-09,Casey Martin,iPhone 13,Mobile,4,8942,Hyderabad,16%,Credit Card,Delivered,Arjun,16598,586,Fragile
ORD1058,2024-08-21,Dylan Russell,iPhone 13,Laptop,3,72249,Delhi,12%,Cash,Delayed,Arjun,19603,976,Fragile
ORD1059,2024-11-19,Brittney Stephenson,Fitbit Charge,Smartwatch,3,124534,Delhi,11%,Cash,Delivered,David,11828,648,Late delivery
ORD1060,2025-03-11,Justin Sims,MacBook Air,Accessories,1,98354,Delhi,10%,Debit Card,Delivered,Sarah,-331,144,-
ORD1061,2024-08-23,Sean Miller,AirPods Pro,Accessories,4,140764,Chennai,6%,Debit Card,Delivered,Arjun,1827,323,-
ORD1062,2024-07-12,William Olson,Galaxy Tab,Smartwatch,5,89930,Chennai,12%,Debit Card,Delivered,Sarah,-124,470,Late delivery
ORD1063,2024-09-20,Amanda Villarreal,iPhone 13,Tablet,1,41733,Hyderabad,20%,Debit Card,Delayed,Riya,4128,604,Late delivery
ORD1064,2025-01-28,Tonya Rowland,Galaxy Tab,Laptop,3,24551,Chennai,14%,Credit Card,Pending,Sarah,3348,820,Fragile
ORD1065,2024-12-16,Jared Tyler,Galaxy Tab,Laptop,3,65444,Bengaluru,3%,Debit Card,Delayed,Riya,2656,315,Urgent
ORD1066,2024-06-18,Edward Stewart MD,OnePlus 11,Smartwatch,4,45567,Bengaluru,6%,Net Banking,Delivered,Sarah,4037,863,Fragile
ORD1067,2025-02-24,Chelsea Hubbard,iPhone 13,Tablet,4,110390,Mumbai,14%,Cash,Delayed,Sarah,-1471,573,-
ORD1068,2025-01-12,David Garcia,AirPods Pro,Accessories,5,148168,Delhi,2%,Net Banking,Delayed,Arjun,4706,741,No stock
ORD1069,2025-02-17,Timothy Hughes,OnePlus 11,Accessories,4,23320,Mumbai,14%,Cash,Delivered,Priya,-4457,587,Urgent
ORD1070,2025-01-16,Evelyn Johnson,Galaxy Tab,Tablet,4,66987,Mumbai,9%,Net Banking,Cancelled,Sarah,-1333,372,No stock
ORD1071,2025-01-22,Curtis Mason,MacBook Air,Laptop,5,119460,Chennai,15%,Debit Card,Cancelled,David,17330,379,-
ORD1072,2024-06-29,Mark Sanchez,iPhone 13,Smartwatch,3,32495,Hyderabad,11%,Debit Card,Cancelled,Priya,-417,208,No stock
ORD1073,2025-01-16,Holly Carroll,OnePlus 11,Smartwatch,1,54442,Chennai,15%,Cash,Pending,John,16417,944,No stock
ORD1074,2024-09-24,Renee Rivera,AirPods Pro,Tablet,5,125374,Hyderabad,16%,Credit Card,Pending,Priya,9245,904,No stock
ORD1075,2024-05-10,Billy Dawson,OnePlus 11,Tablet,3,52119,Kolkata,16%,Debit Card,Cancelled,John,15434,766,-
ORD1076,2024-05-16,April Evans,Fitbit Charge,Accessories,5,83190,Chennai,20%,Cash,Delayed,Sarah,17087,612,Late delivery
ORD1077,2024-05-11,Charles Powers,Fitbit Charge,Mobile,3,59579,Hyderabad,0%,Credit Card,Pending,Priya,19281,201,No stock
ORD1078,2024-06-26,Elizabeth Richards,MacBook Air,Smartwatch,5,74297,Hyderabad,0%,Credit Card,Delayed,Priya,-3077,990,Fragile
ORD1079,2024-08-02,Susan Olsen,OnePlus 11,Tablet,2,92611,Chennai,14%,UPI,Delayed,David,9182,171,No stock
ORD1080,2025-02-13,Timothy Ruiz,OnePlus 11,Tablet,4,106440,Bengaluru,11%,Credit Card,Pending,Arjun,-3977,325,Late delivery
ORD1081,2025-02-26,Robert Sandoval,MacBook Air,Tablet,5,43643,Chennai,13%,Cash,Delivered,David,10431,816,Late delivery
ORD1082,2024-07-05,Rachel Morton,OnePlus 11,Smartwatch,4,59268,Delhi,11%,UPI,Cancelled,Sarah,-3990,178,Late delivery
ORD1083,2025-01-08,John Ramirez,OnePlus 11,Tablet,1,65374,Mumbai,19%,Cash,Delivered,Sarah,3360,917,-
ORD1084,2025-03-28,Nicholas Morris,Galaxy Tab,Laptop,1,123694,Mumbai,5%,Net Banking,Delivered,Arjun,-20,691,Late delivery
ORD1085,2024-05-17,Michele Carter,OnePlus 11,Mobile,1,82071,Hyderabad,10%,Debit Card,Cancelled,John,-1720,995,Late delivery
ORD1086,2024-10-06,Joe Miller,Galaxy Tab,Laptop,2,145495,Kolkata,10%,Credit Card,Pending,Riya,901,743,Urgent
ORD1087,2024-08-20,John Nash,Galaxy Tab,Mobile,3,132916,Delhi,9%,Debit Card,Cancelled,Priya,14772,472,Late delivery
ORD1088,2024-08-09,Candace Simmons,OnePlus 11,Tablet,3,89620,Delhi,1%,Credit Card,Pending,Arjun,7924,509,-
ORD1089,2025-03-16,Catherine Brown,iPhone 13,Tablet,2,87233,Mumbai,1%,UPI,Delivered,David,16773,167,Fragile
ORD1090,2025-01-23,Antonio Pollard PhD,Fitbit Charge,Accessories,2,7838,Chennai,20%,Net Banking,Delayed,Priya,17096,815,No stock
ORD1091,2025-01-16,Phyllis Holmes,AirPods Pro,Smartwatch,1,143475,Delhi,0%,Credit Card,Pending,John,15913,687,Urgent
ORD1092,2024-08-07,Diana Bennett,MacBook Air,Accessories,3,83958,Chennai,14%,UPI,Pending,Priya,924,238,Fragile
ORD1093,2025-02-08,Tyler Mccormick,Galaxy Tab,Tablet,5,110548,Bengaluru,14%,Credit Card,Cancelled,Priya,5220,767,Fragile
ORD1094,2025-01-17,Mark Smith,MacBook Air,Mobile,2,72098,Hyderabad,2%,Net Banking,Cancelled,Riya,17793,169,Fragile
ORD1095,2024-12-08,Steven Weiss,OnePlus 11,Smartwatch,3,96501,Bengaluru,16%,Cash,Delayed,Sarah,7777,778,Fragile
ORD1096,2024-10-27,Sandra Robinson,AirPods Pro,Accessories,3,109219,Kolkata,5%,Cash,Delivered,Riya,18424,149,-
ORD1097,2024-11-18,Felicia Fernandez,iPhone 13,Mobile,3,101443,Mumbai,1%,Credit Card,Pending,Sarah,17536,576,Urgent
ORD1098,2024-08-30,James Wood,Galaxy Tab,Smartwatch,3,24709,Bengaluru,4%,UPI,Delayed,Priya,17230,937,Late delivery
ORD1099,2024-05-06,Eugene Hall,OnePlus 11,Laptop,4,47407,Kolkata,17%,Cash,Delayed,John,4713,753,Fragile
ORD1100,2025-04-10,Daniel Davis,iPhone 13,Smartwatch,5,132605,Hyderabad,17%,Cash,Delivered,Priya,7952,702,Urgent
ORD1101,2024-06-09,Michelle Campbell,iPhone 13,Tablet,4,56933,Kolkata,3%,UPI,Pending,John,-2357,273,No stock
ORD1102,2025-01-15,Ruth Salas,Fitbit Charge,Tablet,5,56682,Mumbai,13%,UPI,Delayed,Riya,13897,278,Fragile
ORD1103,2025-02-02,Juan Donaldson,iPhone 13,Accessories,1,96879,Delhi,4%,Cash,Delivered,Riya,14799,927,-
ORD1104,2024-08-28,Kyle Saunders,iPhone 13,Mobile,2,61981,Mumbai,7%,Net Banking,Delivered,Arjun,7592,564,-
ORD1105,2024-04-29,Nicole Rosales,Galaxy Tab,Laptop,2,55484,Delhi,6%,Cash,Delivered,Priya,7454,780,No stock
ORD1106,2024-09-26,Teresa Thomas,Fitbit Charge,Smartwatch,5,107392,Mumbai,16%,UPI,Delayed,David,8342,266,Fragile
ORD1107,2024-12-02,Michelle Gilbert,MacBook Air,Tablet,4,12963,Chennai,14%,UPI,Delivered,John,-2742,945,No stock
ORD1108,2025-04-03,Kathleen Jones,iPhone 13,Tablet,2,18311,Mumbai,0%,UPI,Delivered,David,9310,125,No stock
ORD1109,2024-05-11,Elizabeth Luna,AirPods Pro,Accessories,4,56540,Chennai,20%,Net Banking,Delivered,Arjun,12243,783,-
ORD1110,2025-01-10,Andrew Santos MD,iPhone 13,Smartwatch,4,96932,Hyderabad,13%,Debit Card,Pending,Riya,10119,913,No stock
ORD1111,2025-03-10,Mrs. Hannah Johnson,Fitbit Charge,Laptop,5,15282,Bengaluru,13%,Credit Card,Delivered,Arjun,-4968,902,-
ORD1112,2024-10-14,Ronald Smith,OnePlus 11,Laptop,4,21370,Kolkata,4%,Cash,Pending,David,10662,685,Urgent
ORD1113,2024-06-05,Shannon Mccarthy,Fitbit Charge,Tablet,4,28443,Hyderabad,8%,Net Banking,Delayed,Riya,11102,891,Late delivery
ORD1114,2024-08-11,Jesus Robinson,AirPods Pro,Tablet,4,119927,Hyderabad,18%,Debit Card,Delivered,Priya,2475,218,Late delivery
ORD1115,2024-08-08,Brenda Henry,Galaxy Tab,Accessories,4,40157,Delhi,13%,Credit Card,Delayed,Sarah,10111,767,Urgent
ORD1116,2025-04-01,Kevin Torres,Galaxy Tab,Tablet,4,137142,Chennai,7%,Net Banking,Delivered,Arjun,6760,272,No stock
ORD1117,2024-12-04,Nicholas Sanchez,iPhone 13,Smartwatch,1,39826,Mumbai,19%,UPI,Delayed,John,9799,859,Late delivery
ORD1118,2024-08-08,Craig Vasquez,Fitbit Charge,Mobile,1,61729,Bengaluru,7%,UPI,Delivered,Riya,8757,516,-
ORD1119,2024-09-13,Mr. Jeffrey Davis,MacBook Air,Smartwatch,1,118165,Bengaluru,14%,Credit Card,Delayed,Priya,16205,423,Late delivery
ORD1120,2024-05-10,Jesse Orr,MacBook Air,Mobile,3,68326,Hyderabad,17%,Credit Card,Delivered,Priya,6333,209,No stock
ORD1121,2025-01-26,Melissa Morris,OnePlus 11,Tablet,4,119602,Bengaluru,4%,Net Banking,Delayed,Riya,15108,712,Fragile
ORD1122,2025-04-20,Alyssa Smith,AirPods Pro,Laptop,4,19077,Mumbai,5%,UPI,Delivered,Sarah,8575,645,Late delivery
ORD1123,2025-03-06,Desiree Stuart,Galaxy Tab,Tablet,4,72344,Mumbai,6%,UPI,Delivered,John,-1359,264,Urgent
ORD1124,2025-03-07,Matthew Carter,OnePlus 11,Tablet,1,96270,Bengaluru,6%,Cash,Delayed,David,-3573,682,Late delivery
ORD1125,2024-12-11,Michael Aguilar,MacBook Air,Mobile,5,90838,Bengaluru,15%,Credit Card,Delivered,Sarah,1260,516,Fragile
ORD1126,2025-03-07,Andrea Mcdonald,Galaxy Tab,Accessories,2,50866,Mumbai,7%,Debit Card,Cancelled,Riya,9198,458,Late delivery
ORD1127,2024-09-23,Karina Roberts,AirPods Pro,Tablet,5,27768,Chennai,19%,Cash,Delayed,Sarah,-2501,933,Urgent
ORD1128,2024-09-17,Justin Baker,OnePlus 11,Mobile,3,52896,Bengaluru,19%,Debit Card,Cancelled,Sarah,14510,750,Fragile
ORD1129,2025-02-28,Regina Pena,iPhone 13,Smartwatch,2,45491,Chennai,4%,Cash,Pending,Riya,-1535,958,-
ORD1130,2024-08-05,Nicholas Cortez,OnePlus 11,Laptop,3,134726,Chennai,9%,Debit Card,Pending,Sarah,17235,590,No stock
ORD1131,2024-07-21,Christina Castro,AirPods Pro,Tablet,2,83702,Hyderabad,19%,Debit Card,Cancelled,John,5071,778,Urgent
ORD1132,2025-04-16,Jennifer Turner,iPhone 13,Laptop,3,140331,Bengaluru,6%,Net Banking,Pending,John,19430,682,No stock
ORD1133,2024-05-31,Andrew Miller,OnePlus 11,Smartwatch,2,149320,Chennai,9%,Debit Card,Delivered,Riya,1537,353,-
ORD1134,2024-07-26,Stephen Howard,AirPods Pro,Mobile,3,83150,Kolkata,8%,Credit Card,Cancelled,Riya,13011,920,No stock
ORD1135,2025-03-26,Harold Gibbs,OnePlus 11,Accessories,3,80066,Hyderabad,11%,Cash,Pending,Priya,1828,828,Fragile
ORD1136,2024-10-29,Jessica Mercado,MacBook Air,Tablet,1,75080,Chennai,19%,Debit Card,Delivered,Sarah,11028,570,No stock
ORD1137,2024-05-31,Tammy Norris,Galaxy Tab,Laptop,2,88361,Bengaluru,14%,UPI,Delivered,David,11827,288,Late delivery
ORD1138,2024-11-27,Heidi Walker,Fitbit Charge,Accessories,2,8972,Chennai,11%,Cash,Delivered,Riya,18580,890,-
ORD1139,2025-01-25,Tiffany Valdez,Fitbit Charge,Laptop,4,97815,Bengaluru,19%,Net Banking,Pending,John,16431,781,Fragile
ORD1140,2024-12-19,Kim Henry,Galaxy Tab,Accessories,5,15811,Kolkata,11%,Net Banking,Delivered,Sarah,-2019,546,Late delivery
ORD1141,2024-07-08,Shane Rodriguez,Galaxy Tab,Smartwatch,3,45037,Mumbai,5%,UPI,Pending,Priya,8158,408,-
ORD1142,2025-04-28,Lisa Bernard,iPhone 13,Tablet,4,13324,Bengaluru,4%,Debit Card,Delivered,Sarah,9094,525,Urgent
ORD1143,2024-11-01,Caitlin Collier,Fitbit Charge,Accessories,4,98937,Chennai,12%,Credit Card,Delivered,David,-3998,1000,Fragile
ORD1144,2025-01-19,Jonathan Rivera,iPhone 13,Smartwatch,4,144588,Kolkata,6%,UPI,Cancelled,Priya,-130,805,Late delivery
ORD1145,2024-07-04,Joan Trujillo,Fitbit Charge,Accessories,1,136899,Kolkata,8%,Cash,Pending,Priya,16653,916,Urgent
ORD1146,2025-01-28,Nicole Salinas,iPhone 13,Laptop,1,33848,Kolkata,11%,UPI,Delivered,Sarah,14694,144,Urgent
ORD1147,2025-01-19,Jonathon Fry,MacBook Air,Laptop,5,86411,Delhi,13%,Net Banking,Pending,John,6141,524,No stock
ORD1148,2024-08-14,Angela Washington,MacBook Air,Smartwatch,1,119336,Mumbai,3%,UPI,Cancelled,David,1850,476,Fragile
ORD1149,2025-03-31,Karen Moore DVM,OnePlus 11,Laptop,1,108155,Bengaluru,11%,Credit Card,Delivered,Riya,14414,308,-
ORD1150,2024-12-08,Erin Gonzalez,Galaxy Tab,Accessories,2,15911,Mumbai,19%,Credit Card,Delivered,Riya,10141,613,-
ORD1151,2024-05-16,Kevin Cook,OnePlus 11,Accessories,4,130198,Kolkata,2%,Debit Card,Pending,David,382,219,-
ORD1152,2024-12-29,Victoria Clark,Fitbit Charge,Laptop,2,94357,Bengaluru,17%,UPI,Cancelled,Priya,7474,122,-
ORD1153,2024-05-30,Kimberly Wilson,MacBook Air,Laptop,2,75553,Kolkata,16%,Debit Card,Cancelled,Riya,9407,447,Late delivery
ORD1154,2024-07-19,Kelly Miller,MacBook Air,Tablet,2,46429,Kolkata,20%,Net Banking,Delayed,David,8059,402,-
ORD1155,2024-05-22,Chad Johnson MD,MacBook Air,Accessories,5,117049,Delhi,0%,Credit Card,Pending,Sarah,7368,116,Late delivery
ORD1156,2025-03-23,Jennifer Romero,Galaxy Tab,Accessories,1,84185,Mumbai,3%,UPI,Pending,Riya,17513,207,-
ORD1157,2025-01-21,Michelle Brandt,MacBook Air,Mobile,1,8361,Delhi,17%,UPI,Cancelled,Arjun,17972,990,No stock
ORD1158,2025-04-17,Anthony Meyer,OnePlus 11,Tablet,1,102694,Bengaluru,13%,Net Banking,Cancelled,Priya,-4934,933,Fragile
ORD1159,2024-06-09,Mrs. Angela Pope,OnePlus 11,Accessories,3,36413,Mumbai,19%,Net Banking,Delivered,John,7788,814,Late delivery
ORD1160,2024-10-16,Andrew Conway,Fitbit Charge,Laptop,1,102169,Kolkata,9%,Debit Card,Delivered,Priya,19989,139,Urgent
ORD1161,2024-11-26,David Lopez,Galaxy Tab,Mobile,2,57843,Hyderabad,2%,UPI,Pending,Arjun,9880,627,Urgent
ORD1162,2025-04-15,Andrew Kramer,OnePlus 11,Mobile,3,87131,Delhi,5%,UPI,Pending,Priya,16283,421,Urgent
ORD1163,2025-02-20,Anthony Hansen,Galaxy Tab,Accessories,1,92705,Kolkata,6%,Debit Card,Cancelled,Sarah,19493,208,Fragile
ORD1164,2024-12-15,Marc White,iPhone 13,Mobile,2,99393,Hyderabad,0%,Credit Card,Cancelled,Riya,15257,193,-
ORD1165,2024-07-11,Karen Scott,Galaxy Tab,Accessories,4,146371,Kolkata,14%,Credit Card,Delayed,Arjun,16355,268,No stock
ORD1166,2024-10-29,Gina Allen,Galaxy Tab,Smartwatch,5,139119,Mumbai,9%,Credit Card,Delivered,Arjun,7391,800,-
ORD1167,2024-12-15,Stephanie Jackson,OnePlus 11,Laptop,1,120021,Mumbai,10%,Credit Card,Pending,Sarah,8528,980,Fragile
ORD1168,2024-05-06,Monica Cook,Galaxy Tab,Mobile,1,40891,Hyderabad,12%,Debit Card,Delayed,John,19216,416,-
ORD1169,2024-05-02,Jon Long,Fitbit Charge,Tablet,5,60028,Mumbai,7%,Debit Card,Cancelled,Riya,-3405,863,Urgent
ORD1170,2024-05-05,Nicholas Jones,AirPods Pro,Laptop,4,72476,Hyderabad,17%,Credit Card,Cancelled,Arjun,-1692,249,Urgent
ORD1171,2025-01-09,Danielle Brock,Galaxy Tab,Smartwatch,2,70710,Hyderabad,18%,Net Banking,Delayed,John,15287,726,No stock
ORD1172,2025-04-19,Yvette Brown,iPhone 13,Smartwatch,3,39054,Bengaluru,14%,UPI,Pending,Riya,17316,634,Urgent
ORD1173,2024-05-24,Brittany Mullen,Galaxy Tab,Accessories,4,88496,Kolkata,11%,UPI,Delayed,Arjun,-3916,669,-
ORD1174,2024-10-24,April Smith,OnePlus 11,Accessories,1,59361,Kolkata,14%,Debit Card,Delivered,Sarah,9456,884,Fragile
ORD1175,2025-01-09,Brenda Frederick,OnePlus 11,Laptop,2,90538,Mumbai,3%,Cash,Delivered,David,6698,1000,Fragile
ORD1176,2025-01-18,Ashley Anderson,iPhone 13,Tablet,3,31984,Hyderabad,18%,Credit Card,Pending,David,19398,250,Fragile
ORD1177,2025-01-12,Elizabeth Turner,iPhone 13,Smartwatch,1,128399,Bengaluru,8%,Credit Card,Cancelled,Sarah,10611,708,-
ORD1178,2024-10-06,Jack Lowe DDS,Galaxy Tab,Accessories,5,33887,Kolkata,9%,Cash,Cancelled,John,19965,740,Late delivery
ORD1179,2024-06-14,Donna Barrera,AirPods Pro,Accessories,5,108199,Delhi,10%,UPI,Delayed,Priya,4033,611,Urgent
ORD1180,2024-12-20,Andrea Buchanan,MacBook Air,Tablet,3,126994,Mumbai,6%,UPI,Pending,David,398,573,Urgent
ORD1181,2024-05-09,Jerry Medina,Galaxy Tab,Tablet,1,33974,Mumbai,6%,UPI,Cancelled,John,1182,198,No stock
ORD1182,2024-08-09,Sharon Brown,AirPods Pro,Mobile,1,15482,Chennai,4%,Cash,Cancelled,Arjun,-108,885,Late delivery
ORD1183,2024-10-18,Jeremy Cole,AirPods Pro,Accessories,3,19749,Kolkata,8%,Cash,Pending,John,2254,889,Urgent
ORD1184,2024-10-18,Luis Phillips,Fitbit Charge,Mobile,3,16389,Mumbai,6%,UPI,Cancelled,John,11445,253,Late delivery
ORD1185,2025-01-02,Amanda Williamson,OnePlus 11,Smartwatch,5,115810,Delhi,7%,Debit Card,Pending,David,18915,535,Fragile
ORD1186,2024-08-23,Lisa Quinn,AirPods Pro,Laptop,1,29485,Delhi,8%,Debit Card,Delayed,David,1531,322,-
ORD1187,2024-12-20,Frank Lowe,Galaxy Tab,Mobile,5,96068,Chennai,13%,Cash,Delayed,Arjun,10538,317,Urgent
ORD1188,2024-10-21,Carly Banks,iPhone 13,Laptop,4,123929,Mumbai,10%,Net Banking,Pending,Sarah,5605,485,Late delivery
ORD1189,2025-03-16,Wendy Lowery,AirPods Pro,Tablet,2,99644,Mumbai,8%,Credit Card,Delivered,John,18904,741,Fragile
ORD1190,2024-11-12,Steven Price,OnePlus 11,Smartwatch,5,148849,Kolkata,1%,UPI,Cancelled,Arjun,17376,180,No stock
